,name,handedness,height,weight,avg,homeruns,hr_bucket,bmi,bmi_bucket,hr_sqrt
733,Al Luplow,L,70,175,0.235,33,Mid home run hitter (25-100 HR),25.10714286,25,5.744562647
734,Dick Allen,R,71,187,0.292,351,Big home run hitter (over 200 HR),26.07835747,26,18.734994
735,Doug Ault,R,75,200,0.236,17,Low home run hitter (under 25 HR),24.99555556,24,4.123105626
736,Mark Wagner,R,72,165,0.243,3,Low home run hitter (under 25 HR),22.3755787,22,1.732050808
737,Willie Stargell,L,74,188,0.282,475,Big home run hitter (over 200 HR),24.13513514,24,21.79449472
738,Steve Carlton,L,76,210,0.201,13,Low home run hitter (under 25 HR),25.55921053,25,3.605551275
739,Jake Wood,R,73,163,0.25,35,Mid home run hitter (25-100 HR),21.50290861,21,5.916079783
740,Del Unser,L,73,180,0.258,87,Mid home run hitter (25-100 HR),23.74554325,23,9.327379053
741,Bob Brower,R,71,185,0.242,17,Low home run hitter (under 25 HR),25.79944455,25,4.123105626
742,Ray Culp,R,72,200,0.123,1,Low home run hitter (under 25 HR),27.12191358,27,1
743,Ivan Murrell,R,74,195,0.236,33,Mid home run hitter (25-100 HR),25.03378378,25,5.744562647
744,Lee Mazzilli,B,73,180,0.259,93,Mid home run hitter (25-100 HR),23.74554325,23,9.643650761
745,Garth Iorg,R,71,170,0.258,20,Low home run hitter (under 25 HR),23.7075977,23,4.472135955
746,Alan Ashby,B,74,185,0.245,90,Mid home run hitter (25-100 HR),23.75,23,9.486832981
747,Bob Brenly,R,74,210,0.247,91,Mid home run hitter (25-100 HR),26.95945946,26,9.539392014
748,Ron Blomberg,L,73,195,0.293,52,Mid home run hitter (25-100 HR),25.72433853,25,7.211102551
749,Jim Rooker,R,72,195,0.201,7,Low home run hitter (under 25 HR),26.44386574,26,2.645751311
750,Tim Blackwell,B,71,170,0.228,6,Low home run hitter (under 25 HR),23.7075977,23,2.449489743
751,Jerry Morales,R,70,155,0.259,95,Mid home run hitter (25-100 HR),22.2377551,22,9.746794345
752,Davey Lopes,R,69,170,0.263,155,Big home run hitter (over 200 HR),25.10186936,25,12.4498996
753,Catfish Hunter,R,72,190,0.226,6,Low home run hitter (under 25 HR),25.7658179,25,2.449489743
754,Mario Soto,R,72,174,0.132,1,Low home run hitter (under 25 HR),23.59606481,23,1
755,Jimmy Wynn,R,70,160,0.25,291,Big home run hitter (over 200 HR),22.95510204,22,17.05872211
756,Hank Allen,R,72,190,0.241,6,Low home run hitter (under 25 HR),25.7658179,25,2.449489743
757,Jim Fregosi,R,73,190,0.265,151,Big home run hitter (over 200 HR),25.0647401,25,12.28820573
758,Pepe Frias,R,70,159,0.24,1,Low home run hitter (under 25 HR),22.81163265,22,1
759,Mike Schmidt,R,74,195,0.267,548,Big home run hitter (over 200 HR),25.03378378,25,23.40939982
760,Willie Montanez,L,72,170,0.275,139,Big home run hitter (over 200 HR),23.05362654,23,11.78982612
761,Rey Quinones,R,71,160,0.243,29,Mid home run hitter (25-100 HR),22.31303313,22,5.385164807
